"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",221077,1000,1500,1800,1800,2100,2400,3000,3500,33000
"POST /orders/checkout",87921,3500,4200,4800,5200,6500,8000,9800,11000,38000
"POST /orders/create",267589,670,840,960,1000,1300,1800,2800,4700,105000
"GET /orders/find/",78418,1200,1700,1800,1900,2200,2500,3200,3700,65000
"DELETE /orders/remove",122372,680,820,910,970,1100,1300,1500,1600,2400
"DELETE /orders/removeItem/",69554,1100,1600,1700,1800,2100,2400,3100,3600,32000
"POST /redis/stock/item/create",408007,580,830,960,1000,1200,1500,3000,7500,116000
"POST /redis/users/create",34160,630,1300,1900,2400,5300,14000,33000,47000,117000
"POST /stock/add",406288,400,570,670,730,900,1100,1200,1400,2200
"GET /stock/item/availability",29210,1300,2000,2400,2800,4500,7800,18000,29000,108000
"POST /users/credit/add/",30548,2200,2900,3900,4700,12000,26000,46000,61000,124000
"Total",1755144,700,940,1100,1300,2000,3200,5400,8100,124000
