"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",329322,790,940,1000,1100,1300,1500,1600,1800,4000
"POST /orders/checkout",138984,6100,6900,7500,7700,8600,9500,12000,14000,74000
"POST /orders/create",366777,730,900,1000,1100,1400,1900,3400,5800,279000
"GET /orders/find/",124530,1800,1900,2000,2100,2300,2500,2700,2800,4900
"DELETE /orders/remove",172715,730,880,970,1000,1200,1400,1500,1600,2500
"DELETE /orders/removeItem/",111186,610,850,1000,1100,1200,1400,1600,1700,2800
"POST /sql/stock/item/create",566206,650,860,970,1000,1300,1700,3800,11000,297000
"POST /sql/users/create",42559,810,1900,2700,3600,16000,47000,96000,128000,310000
"POST /stock/add",565321,420,550,630,680,830,1000,1200,1400,2400
"GET /stock/item/availability",42837,1600,2200,2900,3500,5400,10000,31000,57000,296000
"POST /users/credit/add/",45353,2300,3300,4500,5700,18000,44000,92000,122000,282000
"Total",2505790,690,930,1100,1300,2100,5200,7900,11000,310000
