"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",128365,1900,2100,2300,2400,2600,2800,3100,3300,6100
"POST /orders/checkout",1231,30000,32000,33000,34000,35000,36000,36000,37000,38000
"POST /orders/create",152178,540,720,850,950,1200,1600,4400,20000,65000
"GET /orders/find/",37523,2300,2400,2600,2600,2900,3100,3400,3600,5300
"DELETE /orders/remove",71370,620,780,880,950,1100,1300,1400,1500,2300
"DELETE /orders/removeItem/",32407,2200,2400,2500,2600,2800,3100,3300,3600,5600
"POST /redis/stock/item/create",296390,380,560,710,810,1100,1700,8500,9300,62000
"POST /redis/users/create",41149,630,1100,1300,1500,2000,2600,4500,8100,65000
"POST /stock/add",291885,270,390,490,560,750,950,1200,1400,2100
"GET /stock/item/availability",20472,510,770,1100,1400,2000,2700,4900,7400,44000
"POST /users/credit/add/",21038,1400,1800,2100,2300,3200,5200,10000,14000,80000
"Total",1094008,510,820,1200,1600,2200,2600,3400,8400,80000
