"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",120786,940,1300,1800,2000,3500,4400,5200,5700,34000
"POST /orders/checkout",22944,6500,8300,9700,11000,14000,17000,19000,21000,43000
"POST /orders/create",170396,590,800,970,1100,1700,2100,2800,3900,79000
"GET /orders/find/",36383,1300,1900,2100,2500,4000,4900,5500,6100,34000
"DELETE /orders/remove",74401,630,800,920,1000,1400,1800,2100,2400,4400
"DELETE /orders/removeItem/",31558,1300,1800,2100,2600,3900,4700,5400,6100,33000
"POST /redis/stock/item/create",293455,330,450,550,640,860,1100,1400,1900,56000
"POST /redis/users/create",31391,420,940,1300,1500,2200,3400,7000,11000,80000
"POST /stock/add",292020,230,310,380,440,610,740,950,1100,2100
"GET /stock/item/availability",21248,450,750,1200,1500,2200,3100,6000,9200,75000
"POST /users/credit/add/",22900,1400,1900,2200,2400,3400,5300,9500,14000,74000
"Total",1117482,440,680,860,1000,1800,3000,5300,8000,80000
