"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /sql/stock/item/create",94364,9000,12000,14000,15000,29000,35000,38000,40000,54000
"POST /sql/users/create",68022,1000,1100,1400,2100,3600,7100,7600,15000,60000
"POST /stock/add",68722,8200,12000,13000,15000,28000,35000,38000,39000,42000
"Total",231108,5300,9100,12000,13000,21000,32000,37000,39000,60000
