"Name","# requests","50%","66%","75%","80%","90%","95%","98%","99%","100%"
"POST /orders/addItem",272643,8900,11000,13000,14000,17000,19000,21000,23000,73000
"POST /orders/checkout",31548,43000,50000,55000,58000,68000,75000,85000,91000,120000
"POST /orders/create",449300,3000,3700,4100,4400,5200,6300,8600,11000,64000
"GET /orders/find/",63211,8900,11000,13000,14000,16000,18000,20000,22000,75000
"DELETE /orders/remove",201649,3000,3600,4000,4200,4900,5400,6100,6600,33000
"DELETE /orders/removeItem/",53261,8500,11000,12000,13000,15000,17000,19000,21000,73000
"POST /redis/stock/item/create",593598,580,830,1000,1200,1700,2400,3500,4500,60000
"POST /redis/users/create",75843,870,1200,1700,2000,2900,4400,7700,11000,52000
"POST /stock/add",585038,410,590,740,860,1300,1800,2600,3000,5000
"GET /stock/item/availability",49509,940,1700,2300,2700,4200,5900,9900,13000,63000
"POST /users/credit/add/",50469,2000,2600,3200,3800,5200,7500,11000,14000,52000
"Total",2426069,1100,2500,3500,4200,8700,13000,19000,32000,120000
